,0,Team
74,"
SRS: 8.21 (1st of 30)
      
      Pace: 97.6 (13th of 30)
    ",HOU
75,"
Off Rtg: 114.7 (1st of 30)
      Def Rtg: 106.1 (6th of 30)
    ",HOU
76,"
Expected W-L: 61-21 (1st of 30)
    ",HOU
77,"
Preseason Odds:
Championship +2150, Over-Under 
            55.5
          
",HOU
78,"
Arena: 
    Toyota Center
  

  
    Attendance:
    732,722 (17th of 30)
  
",HOU
79,"NBA 2018 Playoffs:
Won NBA Western Conference First Round (4-1) versus Minnesota Timberwolves
 (Series Stats)Won NBA Western Conference Semifinals (4-1) versus Utah Jazz
 (Series Stats)Lost NBA Western Conference Finals (3-4) versus Golden State Warriors
 (Series Stats)",HOU
80,"
Record:
    
      48-34, Finished 5th in NBA 
     Eastern Conference    
    
    
    
    
",IND
81,Coach: Nate McMillan (48-34),IND
82,Executive: Kevin Pritchard,IND
83,"
PTS/G: 
      105.6 (17th of 30)
      Opp PTS/G: 
      104.2 (9th of 30)
    ",IND
84,"
SRS: 1.18 (13th of 30)
      
      Pace: 96.0 (23rd of 30)
    ",IND
85,"
Off Rtg: 109.5 (11th of 30)
      Def Rtg: 108.1 (13th of 30)
    ",IND
86,"
Expected W-L: 45-37 (12th of 30)
    ",IND
87,"
Preseason Odds:
Championship +125000, Over-Under 
            31.5
          
",IND
88,"
Arena: 
    Bankers Life Fieldhouse
  

  
    Attendance:
    658,119 (27th of 30)
  
",IND
89,"NBA 2018 Playoffs:
Lost NBA Eastern Conference First Round (3-4) versus Cleveland Cavaliers
 (Series Stats)",IND
90,"
Record:
    
      59-23, Finished 1st in NBA 
     Eastern Conference    
    
    
    
    
",TOR
91,Coach: Dwane Casey (59-23),TOR
92,Executive: Masai Ujiri,TOR
93,"
PTS/G: 
      111.7 (4th of 30)
      Opp PTS/G: 
      103.9 (7th of 30)
    ",TOR
94,"
SRS: 7.29 (2nd of 30)
      
      Pace: 97.4 (14th of 30)
    ",TOR
95,"
Off Rtg: 113.8 (2nd of 30)
      Def Rtg: 105.9 (5th of 30)
    ",TOR
96,"
Expected W-L: 60-22 (2nd of 30)
    ",TOR
97,"
Preseason Odds:
Championship +15000, Over-Under 
            48.5
          
",TOR
98,"
Arena: 
    Air Canada Centre
  

  
    Attendance:
    813,431 (4th of 30)
  
",TOR
99,"NBA 2018 Playoffs:
Won NBA Eastern Conference First Round (4-2) versus Washington Wizards
 (Series Stats)Lost NBA Eastern Conference Semifinals (0-4) versus Cleveland Cavaliers
 (Series Stats)",TOR
100,"
Record:
    
      46-36, Finished 9th in NBA 
     Western Conference    
    
    
    
    
",DEN
101,Coach: Mike Malone (46-36),DEN
102,Executive: Tim Connelly,DEN
103,"
PTS/G: 
      110.0 (6th of 30)
      Opp PTS/G: 
      108.5 (22nd of 30)
    ",DEN
104,"
SRS: 1.57 (11th of 30)
      
      Pace: 96.8 (16th of 30)
    ",DEN
105,"
Off Rtg: 112.5 (6th of 30)
      Def Rtg: 111.0 (25th of 30)
    ",DEN
106,"
Expected W-L: 45-37 (11th of 30)
    ",DEN
107,"
Preseason Odds:
Championship +20000, Over-Under 
            45.5
          
",DEN
108,"
Arena: 
    Pepsi Center
  

  
    Attendance:
    702,796 (20th of 30)
  
",DEN
109,Nuggets Franchise Index,DEN
110,"
Record:
    
      48-34, Finished 5th in NBA 
     Western Conference    
    
    
    
    
",UTA
111,Coach: Quin Snyder (48-34),UTA
112,Executive: Dennis Lindsey,UTA
113,"
PTS/G: 
      104.1 (19th of 30)
      Opp PTS/G: 
      99.8 (2nd of 30)
    ",UTA
114,"
SRS: 4.47 (4th of 30)
      
      Pace: 95.7 (25th of 30)
    ",UTA
115,"
Off Rtg: 108.4 (16th of 30)
      Def Rtg: 103.9 (2nd of 30)
    ",UTA
116,"
Expected W-L: 53-29 (4th of 30)
    ",UTA
