,0,Team
0,"
Record:
    
      37-45, Finished 10th in NBA 
     Western Conference    
    
    
    
    
",LAL
1,Coach: Luke Walton (37-45),LAL
2,"Executive: Magic Johnson, Rob Pelinka",LAL
3,"
PTS/G: 
      111.8 (16th of 30)
      Opp PTS/G: 
      113.5 (21st of 30)
    ",LAL
4,"
SRS: -1.33 (23rd of 30)
      
      Pace: 103.2 (4th of 30)
    ",LAL
5,"
Off Rtg: 107.8 (24th of 30)
      Def Rtg: 109.5 (12th of 30)
    ",LAL
6,"
Expected W-L: 37-45 (23rd of 30)
    ",LAL
7,"
Preseason Odds:
Championship +1800, Over-Under 
            48.5
          
",LAL
8,"
Arena: 
    STAPLES Center
  

  
    Attendance:
    778,877 (10th of 30)
  
",LAL
9,Lakers Franchise Index,LAL
10,"
Record:
    
      60-22, Finished 1st in NBA 
     Eastern Conference    
    
    
    
    
",MIL
11,Coach: Mike Budenholzer (60-22),MIL
12,Executive: Jon Horst,MIL
13,"
PTS/G: 
      118.1 (1st of 30)
      Opp PTS/G: 
      109.3 (11th of 30)
    ",MIL
14,"
SRS: 8.04 (1st of 30)
      
      Pace: 103.3 (2nd of 30)
    ",MIL
15,"
Off Rtg: 113.8 (4th of 30)
      Def Rtg: 105.2 (1st of 30)
    ",MIL
16,"
Expected W-L: 61-21 (1st of 30)
    ",MIL
17,"
Preseason Odds:
Championship +10000, Over-Under 
            48.0
          
",MIL
18,"
Arena: 
    Fiserv Forum
  

  
    Attendance:
    721,692 (17th of 30)
  
",MIL
19,"NBA 2019 Playoffs:
Won NBA Eastern Conference First Round (4-0) versus Detroit Pistons
 (Series Stats)Won NBA Eastern Conference Semifinals (4-1) versus Boston Celtics
 (Series Stats)Lost NBA Eastern Conference Finals (2-4) versus Toronto Raptors
 (Series Stats)",MIL
20,"
Record:
    
      48-34, Finished 8th in NBA 
     Western Conference    
    
    
    
    
",LAC
21,Coach: Doc Rivers (48-34),LAC
22,Executive: Lawrence Frank,LAC
23,"
PTS/G: 
      115.1 (5th of 30)
      Opp PTS/G: 
      114.3 (25th of 30)
    ",LAC
24,"
SRS: 1.09 (13th of 30)
      
      Pace: 101.7 (7th of 30)
    ",LAC
25,"
Off Rtg: 112.4 (9th of 30)
      Def Rtg: 111.5 (21st of 30)
    ",LAC
26,"
Expected W-L: 43-39 (13th of 30)
    ",LAC
27,"
Preseason Odds:
Championship +40000, Over-Under 
            37.0
          
",LAC
28,"
Arena: 
    STAPLES Center
  

  
    Attendance:
    710,327 (20th of 30)
  
",LAC
29,"NBA 2019 Playoffs:
Lost NBA Western Conference First Round (2-4) versus Golden State Warriors
 (Series Stats)",LAC
30,"
Record:
    
      39-43, Finished 10th in NBA 
     Eastern Conference    
    
    
    
    
",MIA
31,Coach: Erik Spoelstra (39-43),MIA
32,Executive: Pat Riley,MIA
33,"
PTS/G: 
      105.7 (26th of 30)
      Opp PTS/G: 
      105.9 (2nd of 30)
    ",MIA
34,"
SRS: -0.45 (16th of 30)
      
      Pace: 98.2 (23rd of 30)
    ",MIA
35,"
Off Rtg: 107.3 (26th of 30)
      Def Rtg: 107.6 (6th of 30)
    ",MIA
36,"
Expected W-L: 40-42 (16th of 30)
    ",MIA
37,"
Preseason Odds:
Championship +35000, Over-Under 
            43.0
          
",MIA
38,"
Arena: 
    AmericanAirlines Arena
  

  
    Attendance:
    805,264 (5th of 30)
  
",MIA
39,Heat Franchise Index,MIA
40,"
Record:
    
      51-31, Finished 3rd in NBA 
     Eastern Conference    
    
    
    
    
",PHI
41,Coach: Brett Brown (51-31),PHI
42,Executive: Elton Brand,PHI
43,"
PTS/G: 
      115.2 (4th of 30)
      Opp PTS/G: 
      112.5 (19th of 30)
    ",PHI
44,"
SRS: 2.25 (11th of 30)
      
      Pace: 101.6 (8th of 30)
    ",PHI
45,"
Off Rtg: 112.6 (8th of 30)
      Def Rtg: 110.0 (15th of 30)
    ",PHI
46,"
Expected W-L: 48-34 (11th of 30)
    ",PHI
47,"
Preseason Odds:
Championship +2000, Over-Under 
            53.5
          
",PHI
48,"
Arena: 
    Wells Fargo Center
  

  
    Attendance:
    838,342 (1st of 30)
  
",PHI
49,"NBA 2019 Playoffs:
Won NBA Eastern Conference First Round (4-1) versus Brooklyn Nets
 (Series Stats)Lost NBA Eastern Conference Semifinals (3-4) versus Toronto Raptors
 (Series Stats)",PHI
50,"
Record:
    
      49-33, Finished 4th in NBA 
     Eastern Conference    
    
    
    
    
",BOS
51,Coach: Brad Stevens (49-33),BOS
52,Executive: Danny Ainge,BOS
53,"
PTS/G: 
      112.4 (14th of 30)
      Opp PTS/G: 
      108.0 (8th of 30)
    ",BOS
54,"
SRS: 3.90 (8th of 30)
      
      Pace: 99.6 (16th of 30)
    ",BOS
55,"
Off Rtg: 112.2 (10th of 30)
      Def Rtg: 107.8 (7th of 30)
    ",BOS
56,"
Expected W-L: 52-30 (6th of 30)
    ",BOS
57,"
Preseason Odds:
Championship +620, Over-Under 
            59.0
          
",BOS
58,"
Arena: 
    TD Garden
  

  
    Attendance:
    763,584 (11th of 30)
  
",BOS
59,"NBA 2019 Playoffs:
Won NBA Eastern Conference First Round (4-0) versus Indiana Pacers
 (Series Stats)Lost NBA Eastern Conference Semifinals (1-4) versus Milwaukee Bucks
 (Series Stats)",BOS
60,"
Record:
    
      33-49, Finished 14th in NBA 
     Western Conference    
    
    
    
    
",DAL
61,Coach: Rick Carlisle (33-49),DAL
62,Executive: Donn Nelson,DAL
63,"
PTS/G: 
      108.9 (21st of 30)
      Opp PTS/G: 
      110.1 (13th of 30)
    ",DAL
64,"
SRS: -0.86 (19th of 30)
      
      Pace: 99.0 (20th of 30)
    ",DAL
65,"
Off Rtg: 109.4 (20th of 30)
      Def Rtg: 110.7 (18th of 30)
    ",DAL
66,"
Expected W-L: 38-44 (21st of 30)
    ",DAL
67,"
Preseason Odds:
Championship +35000, Over-Under 
            35.5
          
",DAL
68,"
Arena: 
    American Airlines Center
  

  
    Attendance:
    820,569 (3rd of 30)
  
",DAL
69,Mavericks Franchise Index,DAL
70,"
Record:
    
      53-29, Finished 4th in NBA 
     Western Conference    
    
    
    
    
",HOU
71,Coach: Mike D'Antoni (53-29),HOU
72,Executive: Daryl Morey,HOU
73,"
PTS/G: 
      113.9 (11th of 30)
      Opp PTS/G: 
      109.1 (10th of 30)
    ",HOU
74,"
SRS: 4.96 (5th of 30)
      
      Pace: 97.9 (26th of 30)
    ",HOU
75,"
Off Rtg: 115.5 (2nd of 30)
      Def Rtg: 110.7 (17th of 30)
    ",HOU
76,"
Expected W-L: 53-29 (5th of 30)
    ",HOU
77,"
Preseason Odds:
Championship +1000, Over-Under 
            56.5
          
",HOU
78,"
Arena: 
    Toyota Center
  

  
    Attendance:
    740,392 (16th of 30)
  
",HOU
79,"NBA 2019 Playoffs:
Won NBA Western Conference First Round (4-1) versus Utah Jazz
 (Series Stats)Lost NBA Western Conference Semifinals (2-4) versus Golden State Warriors
 (Series Stats)",HOU
80,"
Record:
    
      48-34, Finished 5th in NBA 
     Eastern Conference    
    
    
    
    
",IND
81,Coach: Nate McMillan (48-34),IND
82,Executive: Kevin Pritchard,IND
83,"
PTS/G: 
      108.0 (22nd of 30)
      Opp PTS/G: 
      104.7 (1st of 30)
    ",IND
84,"
SRS: 2.76 (10th of 30)
      
      Pace: 98.1 (24th of 30)
    ",IND
85,"
Off Rtg: 109.9 (18th of 30)
      Def Rtg: 106.5 (3rd of 30)
    ",IND
86,"
Expected W-L: 50-32 (9th of 30)
    ",IND
87,"
Preseason Odds:
Championship +12500, Over-Under 
            47.5
          
",IND
88,"
Arena: 
    Bankers Life Fieldhouse
  

  
    Attendance:
    689,310 (22nd of 30)
  
",IND
89,"NBA 2019 Playoffs:
Lost NBA Eastern Conference First Round (0-4) versus Boston Celtics
 (Series Stats)",IND
90,"
Record:
    
      58-24, Finished 2nd in NBA 
     Eastern Conference    
    
    
    
    
",TOR
91,Coach: Nick Nurse (58-24),TOR
92,Executive: Masai Ujiri,TOR
93,"
PTS/G: 
      114.4 (8th of 30)
      Opp PTS/G: 
      108.4 (9th of 30)
    ",TOR
94,"
SRS: 5.49 (3rd of 30)
      
      Pace: 100.2 (15th of 30)
    ",TOR
95,"
Off Rtg: 113.1 (5th of 30)
      Def Rtg: 107.1 (5th of 30)
    ",TOR
96,"
Expected W-L: 56-26 (3rd of 30)
    ",TOR
97,"
Preseason Odds:
Championship +1850, Over-Under 
            55.5
          
",TOR
98,"
Arena: 
    Scotiabank Arena
  

  
    Attendance:
    812,822 (4th of 30)
  
",TOR
99,"NBA 2019 Playoffs:
Won NBA Eastern Conference First Round (4-1) versus Orlando Magic
 (Series Stats)Won NBA Eastern Conference Semifinals (4-3) versus Philadelphia 76ers
 (Series Stats)Won NBA Eastern Conference Finals (4-2) versus Milwaukee Bucks
 (Series Stats)Won NBA Finals (4-2) versus Golden State Warriors
 (Series Stats)",TOR
100,"
Record:
    
      54-28, Finished 2nd in NBA 
     Western Conference    
    
    
    
    
",DEN
101,Coach: Mike Malone (54-28),DEN
102,Executive: Tim Connelly,DEN
103,"
PTS/G: 
      110.7 (20th of 30)
      Opp PTS/G: 
      106.7 (6th of 30)
    ",DEN
104,"
SRS: 4.19 (7th of 30)
      
      Pace: 97.7 (27th of 30)
    ",DEN
105,"
Off Rtg: 113.0 (6th of 30)
      Def Rtg: 108.9 (10th of 30)
    ",DEN
106,"
Expected W-L: 51-31 (8th of 30)
    ",DEN
107,"
Preseason Odds:
Championship +20000, Over-Under 
            47.5
          
",DEN
108,"
Arena: 
    Pepsi Center
  

  
    Attendance:
    756,457 (12th of 30)
  
",DEN
109,"NBA 2019 Playoffs:
Won NBA Western Conference First Round (4-3) versus San Antonio Spurs
 (Series Stats)Lost NBA Western Conference Semifinals (3-4) versus Portland Trail Blazers
 (Series Stats)",DEN
110,"
Record:
    
      50-32, Finished 5th in NBA 
     Western Conference    
    
    
    
    
",UTA
111,Coach: Quin Snyder (50-32),UTA
112,Executive: Dennis Lindsey,UTA
113,"
PTS/G: 
      111.7 (17th of 30)
      Opp PTS/G: 
      106.5 (4th of 30)
    ",UTA
114,"
SRS: 5.28 (4th of 30)
      
      Pace: 100.3 (13th of 30)
    ",UTA
115,"
Off Rtg: 110.9 (15th of 30)
      Def Rtg: 105.7 (2nd of 30)
    ",UTA
116,"
Expected W-L: 54-28 (4th of 30)
    ",UTA
117,"
Preseason Odds:
Championship +10000, Over-Under 
            49.5
          
",UTA
118,"
Arena: 
    Vivint Smart Home Arena
  

  
    Attendance:
    750,546 (14th of 30)
  
",UTA
119,"NBA 2019 Playoffs:
Lost NBA Western Conference First Round (1-4) versus Houston Rockets
 (Series Stats)",UTA
120,"
Record:
    
      42-40, Finished 6th in NBA 
     Eastern Conference    
    
    
    
    
",BRK
121,Coach: Kenny Atkinson (42-40),BRK
122,Executive: Sean Marks,BRK
123,"
PTS/G: 
      112.2 (15th of 30)
      Opp PTS/G: 
      112.3 (18th of 30)
    ",BRK
124,"
SRS: -0.40 (15th of 30)
      
      Pace: 100.8 (11th of 30)
    ",BRK
125,"
Off Rtg: 109.6 (19th of 30)
      Def Rtg: 109.7 (14th of 30)
    ",BRK
126,"
Expected W-L: 41-41 (15th of 30)
    ",BRK
127,"
Preseason Odds:
Championship +125000, Over-Under 
            32.0
          
",BRK
128,"
Arena: 
    Barclays Center
  

  
    Attendance:
    612,597 (30th of 30)
  
",BRK
129,"NBA 2019 Playoffs:
Lost NBA Eastern Conference First Round (1-4) versus Philadelphia 76ers
 (Series Stats)",BRK
130,"
Record:
    
      39-43, Finished 9th in NBA 
     Eastern Conference    
    
    
    
    
",CHO
131,Coach: James Borrego (39-43),CHO
132,Executive: Mitch Kupchak,CHO
133,"
PTS/G: 
      110.7 (19th of 30)
      Opp PTS/G: 
      111.8 (17th of 30)
    ",CHO
134,"
SRS: -1.32 (22nd of 30)
      
      Pace: 98.7 (21st of 30)
    ",CHO
135,"
Off Rtg: 111.4 (12th of 30)
      Def Rtg: 112.5 (22nd of 30)
    ",CHO
136,"
Expected W-L: 38-44 (19th of 30)
    ",CHO
137,"
Preseason Odds:
Championship +50000, Over-Under 
            35.5
          
",CHO
138,"
Arena: 
    Spectrum Center
  

  
    Attendance:
    676,570 (23rd of 30)
  
",CHO
139,Hornets Franchise Index,CHO
140,"
Record:
    
      49-33, Finished 6th in NBA 
     Western Conference    
    
    
    
    
",OKC
141,Coach: Billy Donovan (49-33),OKC
142,Executive: Sam Presti,OKC
143,"
PTS/G: 
      114.5 (7th of 30)
      Opp PTS/G: 
      111.1 (15th of 30)
    ",OKC
144,"
SRS: 3.56 (9th of 30)
      
      Pace: 102.8 (6th of 30)
    ",OKC
145,"
Off Rtg: 110.3 (17th of 30)
      Def Rtg: 107.0 (4th of 30)
    ",OKC
146,"
Expected W-L: 50-32 (10th of 30)
    ",OKC
147,"
Preseason Odds:
Championship +3800, Over-Under 
            48.5
          
",OKC
148,"
Arena: 
    Chesapeake Energy Arena
  

  
    Attendance:
    746,323 (15th of 30)
  
",OKC
149,"NBA 2019 Playoffs:
Lost NBA Western Conference First Round (1-4) versus Portland Trail Blazers
 (Series Stats)",OKC
