,0,Team
0,"
Record:
    
      26-56, Finished 14th in NBA 
     Western Conference    
    
    
    
    
",LAL
1,Coach: Luke Walton (26-56),LAL
2,"Executive: Magic Johnson, Mitch Kupchak",LAL
3,"
PTS/G: 
      104.6 (17th of 30)
      Opp PTS/G: 
      111.5 (28th of 30)
    ",LAL
4,"
SRS: -6.29 (28th of 30)
      
      Pace: 98.5 (6th of 30)
    ",LAL
5,"
Off Rtg: 106.0 (23rd of 30)
      Def Rtg: 113.0 (30th of 30)
    ",LAL
6,"
Expected W-L: 24-58 (30th of 30)
    ",LAL
7,"
Preseason Odds:
Championship +39000, Over-Under 
            24.5
          
",LAL
8,"
Arena: 
    STAPLES Center
  

  
    Attendance:
    776,917 (11th of 30)
  
",LAL
9,Lakers Franchise Index,LAL
10,"
Record:
    
      42-40, Finished 6th in NBA 
     Eastern Conference    
    
    
    
    
",MIL
11,Coach: Jason Kidd (42-40),MIL
12,Executive: John Hammond,MIL
13,"
PTS/G: 
      103.6 (20th of 30)
      Opp PTS/G: 
      103.8 (9th of 30)
    ",MIL
14,"
SRS: -0.45 (17th of 30)
      
      Pace: 94.5 (26th of 30)
    ",MIL
15,"
Off Rtg: 109.1 (13th of 30)
      Def Rtg: 109.3 (19th of 30)
    ",MIL
16,"
Expected W-L: 40-42 (16th of 30)
    ",MIL
17,"
Preseason Odds:
Championship +18000, Over-Under 
            34.5
          
",MIL
18,"
Arena: 
    BMO Harris Bradley Center
  

  
    Attendance:
    648,952 (27th of 30)
  
",MIL
19,"NBA 2017 Playoffs:
Lost NBA Eastern Conference First Round (2-4) versus Toronto Raptors
 (Series Stats)",MIL
20,"
Record:
    
      51-31, Finished 4th in NBA 
     Western Conference    
    
    
    
    
",LAC
21,Coach: Doc Rivers (51-31),LAC
22,Executive: Doc Rivers,LAC
23,"
PTS/G: 
      108.7 (6th of 30)
      Opp PTS/G: 
      104.4 (12th of 30)
    ",LAC
24,"
SRS: 4.42 (4th of 30)
      
      Pace: 96.1 (16th of 30)
    ",LAC
25,"
Off Rtg: 112.7 (5th of 30)
      Def Rtg: 108.2 (12th of 30)
    ",LAC
26,"
Expected W-L: 52-30 (4th of 30)
    ",LAC
27,"
Preseason Odds:
Championship +3500, Over-Under 
            53.5
          
",LAC
28,"
Arena: 
    STAPLES Center
  

  
    Attendance:
    782,609 (10th of 30)
  
",LAC
29,"NBA 2017 Playoffs:
Lost NBA Western Conference First Round (3-4) versus Utah Jazz
 (Series Stats)",LAC
30,"
Record:
    
      41-41, Finished 9th in NBA 
     Eastern Conference    
    
    
    
    
",MIA
31,Coach: Erik Spoelstra (41-41),MIA
32,Executive: Pat Riley,MIA
33,"
PTS/G: 
      103.2 (21st of 30)
      Opp PTS/G: 
      102.1 (5th of 30)
    ",MIA
34,"
SRS: 0.77 (12th of 30)
      
      Pace: 95.2 (21st of 30)
    ",MIA
35,"
Off Rtg: 107.8 (17th of 30)
      Def Rtg: 106.7 (5th of 30)
    ",MIA
36,"
Expected W-L: 44-38 (10th of 30)
    ",MIA
37,"
Preseason Odds:
Championship +17500, Over-Under 
            34.5
          
",MIA
38,"
Arena: 
    AmericanAirlines Arena
  

  
    Attendance:
    805,400 (7th of 30)
  
",MIA
39,Heat Franchise Index,MIA
40,"
Record:
    
      28-54, Finished 14th in NBA 
     Eastern Conference    
    
    
    
    
",PHI
41,Coach: Brett Brown (28-54),PHI
42,Executive: Bryan Colangelo,PHI
43,"
PTS/G: 
      102.4 (25th of 30)
      Opp PTS/G: 
      108.1 (24th of 30)
    ",PHI
44,"
SRS: -5.83 (27th of 30)
      
      Pace: 98.5 (5th of 30)
    ",PHI
45,"
Off Rtg: 103.2 (30th of 30)
      Def Rtg: 108.9 (17th of 30)
    ",PHI
