,firstName,lastName,jersey,pos,posExpanded,heightFeet,heightInches,weightPounds,personId,teamData,isAllStar,orderChar,playerUrl,displayName
473,Coby,White,0,G,Guard,6,4,195,1629632,"{'urlName': 'bulls', 'city': 'Chicago', 'nickname': 'Bulls', 'tricode': 'CHI'}",False,W,/players/coby/white/1629632,"White, Coby"
474,Derrick,White,4,G,Guard,6,4,190,1628401,"{'urlName': 'spurs', 'city': 'San Antonio', 'nickname': 'Spurs', 'tricode': 'SAS'}",False,W,/players/derrick/white/1628401,"White, Derrick"
475,Hassan,Whiteside,21,C,Center,7,0,265,202355,"{'urlName': 'blazers', 'city': 'Portland', 'nickname': 'Trail Blazers', 'tricode': 'POR'}",False,W,/players/hassan/whiteside/202355,"Whiteside, Hassan"
476,Andrew,Wiggins,22,F,Forward,6,7,197,203952,"{'urlName': 'warriors', 'city': 'Golden State', 'nickname': 'Warriors', 'tricode': 'GSW'}",False,W,/players/andrew/wiggins/203952,"Wiggins, Andrew"
477,Robert,Williams III,44,C-F,Center-Forward,6,8,237,1629057,"{'urlName': 'celtics', 'city': 'Boston', 'nickname': 'Celtics', 'tricode': 'BOS'}",False,W,/players/robert/williams_iii/1629057,"Williams III, Robert"
478,Nigel,Williams-Goss,0,G,Guard,6,2,190,1628430,"{'urlName': 'jazz', 'city': 'Utah', 'nickname': 'Jazz', 'tricode': 'UTA'}",False,W,/players/nigel/williams-goss/1628430,"Williams-Goss, Nigel"
479,Grant,Williams,12,F,Forward,6,6,236,1629684,"{'urlName': 'celtics', 'city': 'Boston', 'nickname': 'Celtics', 'tricode': 'BOS'}",False,W,/players/grant/williams/1629684,"Williams, Grant"
480,Johnathan,Williams,19,F,Forward,6,9,228,1629140,"{'urlName': 'wizards', 'city': 'Washington', 'nickname': 'Wizards', 'tricode': 'WAS'}",False,W,/players/johnathan/williams/1629140,"Williams, Johnathan"
481,Kenrich,Williams,34,G-F,Guard-Forward,6,6,210,1629026,"{'urlName': 'pelicans', 'city': 'New Orleans', 'nickname': 'Pelicans', 'tricode': 'NOP'}",False,W,/players/kenrich/williams/1629026,"Williams, Kenrich"
482,Lou,Williams,23,G,Guard,6,1,175,101150,"{'urlName': 'clippers', 'city': 'LA', 'nickname': 'Clippers', 'tricode': 'LAC'}",False,W,/players/lou/williams/101150,"Williams, Lou"
483,Marvin,Williams,20,F,Forward,6,8,237,101107,"{'urlName': 'bucks', 'city': 'Milwaukee', 'nickname': 'Bucks', 'tricode': 'MIL'}",False,W,/players/marvin/williams/101107,"Williams, Marvin"
484,Zion,Williamson,1,F,Forward,6,6,284,1629627,"{'urlName': 'pelicans', 'city': 'New Orleans', 'nickname': 'Pelicans', 'tricode': 'NOP'}",False,W,/players/zion/williamson/1629627,"Williamson, Zion"
485,D.J.,Wilson,5,F,Forward,6,10,231,1628391,"{'urlName': 'bucks', 'city': 'Milwaukee', 'nickname': 'Bucks', 'tricode': 'MIL'}",False,W,/players/d.j./wilson/1628391,"Wilson, D.J."
486,Dylan,Windler,9,G-F,Guard-Forward,6,6,196,1629685,"{'urlName': 'cavaliers', 'city': 'Cleveland', 'nickname': 'Cavaliers', 'tricode': 'CLE'}",False,W,/players/dylan/windler/1629685,"Windler, Dylan"
487,Justise,Winslow,7,F-G,Forward-Guard,6,6,222,1626159,"{'urlName': 'grizzlies', 'city': 'Memphis', 'nickname': 'Grizzlies', 'tricode': 'MEM'}",False,W,/players/justise/winslow/1626159,"Winslow, Justise"
488,Christian,Wood,35,F,Forward,6,10,214,1626174,"{'urlName': 'pistons', 'city': 'Detroit', 'nickname': 'Pistons', 'tricode': 'DET'}",False,W,/players/christian/wood/1626174,"Wood, Christian"
489,Kenny,Wooten,45,F,Forward,6,8,235,1629624,"{'urlName': 'knicks', 'city': 'New York', 'nickname': 'Knicks', 'tricode': 'NYK'}",False,W,/players/kenny/wooten/1629624,"Wooten, Kenny"
490,Justin,Wright-Foreman,3,G,Guard,6,0,190,1629625,"{'urlName': 'jazz', 'city': 'Utah', 'nickname': 'Jazz', 'tricode': 'UTA'}",False,W,/players/justin/wright-foreman/1629625,"Wright-Foreman, Justin"
491,Delon,Wright,55,G,Guard,6,5,185,1626153,"{'urlName': 'mavericks', 'city': 'Dallas', 'nickname': 'Mavericks', 'tricode': 'DAL'}",False,W,/players/delon/wright/1626153,"Wright, Delon"
492,Thaddeus,Young,21,F,Forward,6,8,235,201152,"{'urlName': 'bulls', 'city': 'Chicago', 'nickname': 'Bulls', 'tricode': 'CHI'}",False,Y,/players/thaddeus/young/201152,"Young, Thaddeus"
493,Trae,Young,11,G,Guard,6,1,180,1629027,"{'urlName': 'hawks', 'city': 'Atlanta', 'nickname': 'Hawks', 'tricode': 'ATL'}",True,Y,/players/trae/young/1629027,"Young, Trae"
494,Cody,Zeller,40,F-C,Forward-Center,7,0,240,203469,"{'urlName': 'hornets', 'city': 'Charlotte', 'nickname': 'Hornets', 'tricode': 'CHA'}",False,Z,/players/cody/zeller/203469,"Zeller, Cody"
495,Ante,Zizic,41,C,Center,6,10,266,1627790,"{'urlName': 'cavaliers', 'city': 'Cleveland', 'nickname': 'Cavaliers', 'tricode': 'CLE'}",False,Z,/players/ante/zizic/1627790,"Zizic, Ante"
496,Ivica,Zubac,40,C,Center,7,0,240,1627826,"{'urlName': 'clippers', 'city': 'LA', 'nickname': 'Clippers', 'tricode': 'LAC'}",False,Z,/players/ivica/zubac/1627826,"Zubac, Ivica"
