Team,CleanedBlurb
Boston Celtics,NBA 2018 Playoffs: Won NBA Eastern Conference First Round (4-3) versus Milwaukee Bucks  Won NBA Eastern Conference Semifinals (4-1) versus Philadelphia 76ers  Lost NBA Eastern Conference Finals (3-4) versus Cleveland Cavaliers  
Indiana Pacers,"Record: 48-34, Finished 5th in NBA Eastern Conference"
Indiana Pacers,Coach: Nate McMillan (48-34)
Indiana Pacers,Executive: Kevin Pritchard
Indiana Pacers,PTS/G: 105.6 (17th of 30) Opp PTS/G: 104.2 (9th of 30)
Indiana Pacers,SRS: 1.18 (13th of 30) Pace: 96.0 (23rd of 30)
Indiana Pacers,Off Rtg: 109.5 (11th of 30) Def Rtg: 108.1 (13th of 30)
Indiana Pacers,Expected W-L: 45-37 (12th of 30)
Indiana Pacers,"Preseason Odds: Championship +125000, Over-Under 31.5"
Indiana Pacers,"Arena: Bankers Life Fieldhouse Attendance: 658,119 (27th of 30)"
Cleveland Cavaliers,NBA 2018 Playoffs: Won NBA Eastern Conference First Round (4-3) versus Indiana Pacers  Won NBA Eastern Conference Semifinals (4-0) versus Toronto Raptors  Won NBA Eastern Conference Finals (4-3) versus Boston Celtics  Lost NBA Finals (0-4) versus Golden State Warriors  
Toronto Raptors,"Record: 59-23, Finished 1st in NBA Eastern Conference"
Toronto Raptors,Coach: Dwane Casey (59-23)
Toronto Raptors,Executive: Masai Ujiri
Toronto Raptors,PTS/G: 111.7 (4th of 30) Opp PTS/G: 103.9 (7th of 30)
Toronto Raptors,SRS: 7.29 (2nd of 30) Pace: 97.4 (14th of 30)
Toronto Raptors,Off Rtg: 113.8 (2nd of 30) Def Rtg: 105.9 (5th of 30)
Toronto Raptors,Expected W-L: 60-22 (2nd of 30)
Toronto Raptors,"Preseason Odds: Championship +15000, Over-Under 48.5"
Toronto Raptors,"Arena: Air Canada Centre Attendance: 813,431 (4th of 30)"
Toronto Raptors,NBA 2018 Playoffs: Won NBA Eastern Conference First Round (4-2) versus Washington Wizards  Lost NBA Eastern Conference Semifinals (0-4) versus Cleveland Cavaliers  
Denver Nuggets,"Record: 46-36, Finished 9th in NBA Western Conference"
Denver Nuggets,Coach: Mike Malone (46-36)
Denver Nuggets,Executive: Tim Connelly
Denver Nuggets,PTS/G: 110.0 (6th of 30) Opp PTS/G: 108.5 (22nd of 30)
Denver Nuggets,SRS: 1.57 (11th of 30) Pace: 96.8 (16th of 30)
Denver Nuggets,Off Rtg: 112.5 (6th of 30) Def Rtg: 111.0 (25th of 30)
Denver Nuggets,Expected W-L: 45-37 (11th of 30)
Denver Nuggets,"Preseason Odds: Championship +20000, Over-Under 45.5"
Denver Nuggets,"Arena: Pepsi Center Attendance: 702,796 (20th of 30)"
Utah Jazz,"Record: 48-34, Finished 5th in NBA Western Conference"
Utah Jazz,Coach: Quin Snyder (48-34)
Utah Jazz,Executive: Dennis Lindsey
Utah Jazz,PTS/G: 104.1 (19th of 30) Opp PTS/G: 99.8 (2nd of 30)
Utah Jazz,SRS: 4.47 (4th of 30) Pace: 95.7 (25th of 30)
Utah Jazz,Off Rtg: 108.4 (16th of 30) Def Rtg: 103.9 (2nd of 30)
Utah Jazz,Expected W-L: 53-29 (4th of 30)
Utah Jazz,"Preseason Odds: Championship +25000, Over-Under 40.5"
Utah Jazz,"Arena: Vivint Smart Home Arena Attendance: 734,806 (15th of 30)"
Philadelphia 76ers,NBA 2018 Playoffs: Won NBA Eastern Conference First Round (4-1) versus Miami Heat  Lost NBA Eastern Conference Semifinals (1-4) versus Boston Celtics  
Brooklyn Nets,"Record: 28-54, Finished 12th in NBA Eastern Conference"
Brooklyn Nets,Coach: Kenny Atkinson (28-54)
Brooklyn Nets,Executive: Sean Marks
Brooklyn Nets,PTS/G: 106.6 (14th of 30) Opp PTS/G: 110.3 (28th of 30)
Brooklyn Nets,SRS: -3.67 (24th of 30) Pace: 98.9 (6th of 30)
Brooklyn Nets,Off Rtg: 106.9 (21st of 30) Def Rtg: 110.6 (22nd of 30)
Brooklyn Nets,Expected W-L: 31-51 (24th of 30)
Brooklyn Nets,"Preseason Odds: Championship +250000, Over-Under 27.5"
Brooklyn Nets,"Arena: Barclays Center Attendance: 640,010 (29th of 30)"
Charlotte Hornets,"Record: 36-46, Finished 10th in NBA Eastern Conference"
Charlotte Hornets,Coach: Steve Clifford (36-46)
Charlotte Hornets,"Executive: Rich Cho, Mitch Kupchak"
Charlotte Hornets,PTS/G: 108.2 (10th of 30) Opp PTS/G: 108.0 (19th of 30)
Charlotte Hornets,SRS: 0.07 (18th of 30) Pace: 98.4 (8th of 30)
Charlotte Hornets,Off Rtg: 109.4 (13th of 30) Def Rtg: 109.1 (16th of 30)
Charlotte Hornets,Expected W-L: 42-40 (17th of 30)
Charlotte Hornets,"Preseason Odds: Championship +50000, Over-Under 42.5"
Charlotte Hornets,"Arena: Spectrum Center Attendance: 671,404 (26th of 30)"
Oklahoma City Thunder,"Record: 48-34, Finished 4th in NBA Western Conference"
Oklahoma City Thunder,Coach: Billy Donovan (48-34)
Oklahoma City Thunder,Executive: Sam Presti
Oklahoma City Thunder,PTS/G: 107.9 (12th of 30) Opp PTS/G: 104.4 (10th of 30)
Oklahoma City Thunder,SRS: 3.42 (6th of 30) Pace: 96.7 (17th of 30)
Oklahoma City Thunder,Off Rtg: 110.7 (7th of 30) Def Rtg: 107.2 (9th of 30)
Oklahoma City Thunder,Expected W-L: 50-32 (7th of 30)
Oklahoma City Thunder,"Preseason Odds: Championship +2150, Over-Under 53.5"
Oklahoma City Thunder,"Arena: Chesapeake Energy Arena Attendance: 746,322 (13th of 30)"
Oklahoma City Thunder,NBA 2018 Playoffs: Lost NBA Western Conference First Round (2-4) versus Utah Jazz  
Orlando Magic,"Record: 25-57, Finished 14th in NBA Eastern Conference"
Orlando Magic,Coach: Frank Vogel (25-57)
Orlando Magic,Executive: Jeff Weltman
Orlando Magic,PTS/G: 103.4 (24th of 30) Opp PTS/G: 108.2 (21st of 30)
Orlando Magic,SRS: -4.92 (25th of 30) Pace: 98.1 (11th of 30)
Orlando Magic,Off Rtg: 105.2 (25th of 30) Def Rtg: 110.1 (18th of 30)
Orlando Magic,Expected W-L: 28-54 (25th of 30)
Orlando Magic,"Preseason Odds: Championship +250000, Over-Under 33.5"
Orlando Magic,"Arena: Amway Center Attendance: 734,531 (16th of 30)"
Phoenix Suns,"Record: 21-61, Finished 15th in NBA Western Conference"
Phoenix Suns,"Coach: Earl Watson (0-3), Jay Triano (21-58)"
Phoenix Suns,Executive: Ryan McDonough
Phoenix Suns,PTS/G: 103.9 (21st of 30) Opp PTS/G: 113.3 (30th of 30)
Phoenix Suns,SRS: -8.80 (30th of 30) Pace: 100.3 (3rd of 30)
Phoenix Suns,Off Rtg: 103.5 (30th of 30) Def Rtg: 112.8 (30th of 30)
Phoenix Suns,Expected W-L: 19-63 (30th of 30)
Phoenix Suns,"Preseason Odds: Championship +125000, Over-Under 28.5"
Phoenix Suns,"Arena: Talking Stick Resort Arena Attendance: 690,576 (23rd of 30)"
Sacramento Kings,"Record: 27-55, Finished 12th in NBA Western Conference"
Sacramento Kings,Coach: Dave Joerger (27-55)
Sacramento Kings,Executive: Vlade Divac
Sacramento Kings,PTS/G: 98.8 (30th of 30) Opp PTS/G: 105.8 (14th of 30)
Sacramento Kings,SRS: -6.59 (28th of 30) Pace: 94.9 (30th of 30)
Sacramento Kings,Off Rtg: 103.7 (29th of 30) Def Rtg: 111.1 (28th of 30)
Sacramento Kings,Expected W-L: 23-59 (29th of 30)
Sacramento Kings,"Preseason Odds: Championship +125000, Over-Under 27.5"
Sacramento Kings,"Arena: Golden 1 Center Attendance: 714,680 (18th of 30)"
Detroit Pistons,"Record: 39-43, Finished 9th in NBA Eastern Conference"
Detroit Pistons,Coach: Stan Van Gundy (39-43)
Detroit Pistons,Executive: Jeff Bower
Detroit Pistons,PTS/G: 103.8 (22nd of 30) Opp PTS/G: 103.9 (8th of 30)
Detroit Pistons,SRS: -0.26 (19th of 30) Pace: 96.2 (21st of 30)
Detroit Pistons,Off Rtg: 107.2 (19th of 30) Def Rtg: 107.3 (10th of 30)
Detroit Pistons,Expected W-L: 41-41 (19th of 30)
Detroit Pistons,"Preseason Odds: Championship +63000, Over-Under 38.5"
Detroit Pistons,"Arena: Little Caesars Arena Attendance: 713,945 (19th of 30)"
Minnesota Timberwolves,"Record: 47-35, Finished 8th in NBA Western Conference"
Minnesota Timberwolves,Coach: Tom Thibodeau (47-35)
Minnesota Timberwolves,Executive: Tom Thibodeau
