,Unnamed: 0,Player,ID,URL
52,52,Jabari Bird,birdja01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/birdja01.jpg
53,53,Bismack Biyombo,biyombi01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/biyombi01.jpg
54,54,Nemanja Bjelica,bjeline01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bjeline01.jpg
55,55,Tarik Black,blackta01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/blackta01.jpg
56,56,Antonio Blakeney,blakean01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/blakean01.jpg
57,57,Eric Bledsoe,bledser01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bledser01.jpg
58,58,Eric Bledsoe,bledser01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bledser01.jpg
59,59,Eric Bledsoe,bledser01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bledser01.jpg
60,60,Vander Blue,blueva01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/blueva01.jpg
61,61,Bogdan Bogdanović,bogdabo01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bogdabo01.jpg
62,62,Bojan Bogdanović,bogdabo02,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bogdabo02.jpg
63,63,Andrew Bogut,bogutan01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bogutan01.jpg
64,64,Joel Bolomboy,bolomjo01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bolomjo01.jpg
65,65,Devin Booker,bookede01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bookede01.jpg
66,66,Trevor Booker,booketr01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/booketr01.jpg
67,67,Trevor Booker,booketr01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/booketr01.jpg
68,68,Trevor Booker,booketr01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/booketr01.jpg
69,69,Trevor Booker,booketr01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/booketr01.jpg
70,70,Chris Boucher,bouchch01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bouchch01.jpg
71,71,Avery Bradley,bradlav01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bradlav01.jpg
72,72,Avery Bradley,bradlav01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bradlav01.jpg
73,73,Avery Bradley,bradlav01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bradlav01.jpg
74,74,Tony Bradley,bradlto01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bradlto01.jpg
75,75,Corey Brewer,breweco01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/breweco01.jpg
76,76,Corey Brewer,breweco01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/breweco01.jpg
77,77,Corey Brewer,breweco01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/breweco01.jpg
78,78,Malcolm Brogdon,brogdma01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/brogdma01.jpg
79,79,Aaron Brooks,brookaa01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/brookaa01.jpg
80,80,Dillon Brooks,brookdi01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/brookdi01.jpg
