,Unnamed: 0,Player,ID,URL
52,52,Nemanja Bjelica,bjeline01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bjeline01.jpg
53,53,Tarik Black,blackta01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/blackta01.jpg
54,54,Eric Bledsoe,bledser01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bledser01.jpg
55,55,Bojan Bogdanović,bogdabo02,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bogdabo02.jpg
56,56,Bojan Bogdanović,bogdabo02,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bogdabo02.jpg
57,57,Bojan Bogdanović,bogdabo02,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bogdabo02.jpg
58,58,Andrew Bogut,bogutan01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bogutan01.jpg
59,59,Andrew Bogut,bogutan01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bogutan01.jpg
60,60,Andrew Bogut,bogutan01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bogutan01.jpg
61,61,Joel Bolomboy,bolomjo01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bolomjo01.jpg
62,62,Devin Booker,bookede01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bookede01.jpg
63,63,Trevor Booker,booketr01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/booketr01.jpg
64,64,Avery Bradley,bradlav01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/bradlav01.jpg
65,65,Corey Brewer,breweco01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/breweco01.jpg
66,66,Corey Brewer,breweco01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/breweco01.jpg
67,67,Corey Brewer,breweco01,https://d2cwpp38twqe55.cloudfront.net/req/202003231/images/players/breweco01.jpg
