,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
232,Myke Henry,SMALL FORWARD,25,MEMPHIS GRIZZLIES,20,378,9.7,0.472,0.532,0.092,3,8.8,5.8,8.9,4.1,1.5,14.4,15.7,-0.3,0.4,0.1,0.017,-3.1,1.8,-1.3,0.1
233,John Henson,CENTER,27,MILWAUKEE BUCKS,76,1970,15.7,0.582,0.014,0.315,9,21.5,15.3,8.6,1.1,4.7,12.8,15,2.8,2.2,4.9,0.12,-1,0.1,-0.9,0.5
234,Juan Hernangómez,POWER FORWARD,22,DENVER NUGGETS,25,277,9.7,0.511,0.667,0.16,7.4,14.6,11,5.9,1.1,0.9,10.1,14,0.2,0.1,0.4,0.061,-1.6,-1.7,-3.3,-0.1
235,Willy Hernangómez,CENTER,23,NEW YORK KNICKS,26,233,16.9,0.595,0.062,0.346,10.5,21.3,15.9,14.3,1.7,2.6,21.8,22.4,0.1,0.3,0.3,0.069,-1.1,0.8,-0.3,0.1
236,Willy Hernangómez,CENTER,23,CHARLOTTE HORNETS,22,262,25,0.612,0.084,0.747,15.8,32.4,24,7.1,1.9,2.9,7.5,19.7,1,0.4,1.5,0.266,2.7,0.1,2.8,0.3
237,Mario Hezonja,SMALL FORWARD,22,ORLANDO MAGIC,75,1657,13.7,0.544,0.433,0.17,2.7,16.1,9.3,10,2.4,1.5,11.5,19.9,0.5,1.8,2.3,0.066,-0.9,0.4,-0.5,0.6
238,Isaiah Hicks,POWER FORWARD,23,NEW YORK KNICKS,18,240,6.8,0.501,0.125,0.25,4.6,14.3,9.5,9.5,0.4,1.4,16.7,17.4,-0.1,0.1,0,-0.003,-6.4,-1.2,-7.6,-0.3
239,Buddy Hield,SHOOTING GUARD,25,SACRAMENTO KINGS,80,2024,16.1,0.557,0.437,0.087,3,14.8,8.6,12.8,2.1,1,11.3,24.3,1.3,1.5,2.8,0.067,1.6,-0.5,1,1.5
240,Nenê,CENTER,35,HOUSTON ROCKETS,52,758,16.4,0.594,0.008,0.448,8.1,18,13.1,9.5,1.8,1.6,11.7,18.9,1.5,1.1,2.6,0.163,-1.6,0.6,-1,0.2
241,George Hill,POINT GUARD,31,SACRAMENTO KINGS,43,1143,14,0.597,0.393,0.304,2.1,9.9,5.8,15.5,1.7,1,14,16.9,1.6,0.6,2.1,0.09,0,-0.6,-0.5,0.4
242,George Hill,POINT GUARD,31,CLEVELAND CAVALIERS,24,669,12.2,0.551,0.412,0.219,3.4,7.3,5.4,14,1.6,1.9,12,15.4,0.8,0.3,1.1,0.077,-0.7,-0.5,-1.2,0.1
243,Solomon Hill,SMALL FORWARD,26,NEW ORLEANS PELICANS,12,187,4.8,0.332,0.512,0.146,5.4,15.1,10.4,14.4,1.8,0.4,17.1,12.2,-0.2,0.2,-0.1,-0.014,-5.3,0.5,-4.8,-0.1
244,Darrun Hilliard,SHOOTING GUARD,24,SAN ANTONIO SPURS,14,95,3.4,0.362,0.316,0.368,0,8.2,4.1,15.3,1.1,0,15.3,12.3,-0.1,0.1,0,-0.015,-7.1,-0.8,-7.9,-0.1
245,Jrue Holiday,SHOOTING GUARD,27,NEW ORLEANS PELICANS,81,2927,17.8,0.57,0.286,0.191,2.4,10.8,6.8,24.9,2,1.7,13.6,23.1,4.2,2.9,7.1,0.116,1.3,0.3,1.6,2.7
246,Justin Holiday,SHOOTING GUARD,28,CHICAGO BULLS,72,2265,10.8,0.513,0.574,0.21,1.4,12.8,6.9,10.1,1.7,1.2,9.8,18.2,0.1,1.6,1.7,0.036,-1.6,-0.3,-1.9,0
247,John Holland,SMALL FORWARD,29,CLEVELAND CAVALIERS,24,174,5.9,0.417,0.61,0.22,3.9,11.4,7.7,3.9,2,1,11,18.5,-0.3,0.1,-0.2,-0.05,-3.6,-1.9,-5.5,-0.2
248,Rondae Hollis-Jefferson,SMALL FORWARD,23,BROOKLYN NETS,68,1920,16.9,0.548,0.075,0.436,5.5,20,12.7,14.2,1.6,1.9,12.3,22.2,2.1,2,4.1,0.103,-0.3,0.4,0.1,1
249,Richaun Holmes,CENTER,24,PHILADELPHIA 76ERS,48,746,17.4,0.585,0.129,0.232,8.6,21.4,15.2,12.3,1.3,3.2,8.6,16.6,1.6,1.3,2.8,0.183,-0.3,1.4,1.1,0.6
250,Rodney Hood,SHOOTING GUARD,25,UTAH JAZZ,39,1084,15.1,0.551,0.475,0.176,1.5,10.1,5.8,10.4,1.4,0.5,9.6,27.3,0.6,1.3,1.9,0.085,1.6,-1,0.5,0.7
251,Rodney Hood,SHOOTING GUARD,25,CLEVELAND CAVALIERS,21,532,12.7,0.533,0.357,0.161,1.7,9.5,5.7,8.4,1.4,0.8,3.2,18.3,0.6,0.2,0.8,0.074,-0.8,-0.7,-1.5,0.1
252,Scotty Hopson,SHOOTING GUARD,28,DALLAS MAVERICKS,1,8,-4.6,0.266,0,2,0,0,0,15.8,0,0,34.7,16.3,0,0,0,-0.238,-9.2,-4.7,-14,0
253,Al Horford,CENTER,31,BOSTON CELTICS,72,2277,17.6,0.575,0.3,0.159,5,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4,3.8,7.8,0.165,2.4,2,4.4,3.7
254,Danuel House,SHOOTING GUARD,24,PHOENIX SUNS,23,403,12.4,0.533,0.45,0.24,3.4,17,10.1,9.4,0.8,1.2,7.2,16.2,0.4,0.1,0.6,0.066,-0.8,-0.8,-1.6,0
255,Dwight Howard,CENTER,32,CHARLOTTE HORNETS,81,2463,20.5,0.577,0.008,0.639,11,33.8,22.2,7.1,1,4.4,15.1,24.2,2.9,3.9,6.8,0.132,-0.3,0.1,-0.1,1.2
256,Josh Huestis,POWER FORWARD,26,OKLAHOMA CITY THUNDER,69,982,5.4,0.417,0.632,0.11,4.6,13.9,9.1,2.7,0.8,4,12,9.5,-0.5,1,0.5,0.024,-3.9,0,-3.9,-0.5
257,R.J. Hunter,SHOOTING GUARD,24,HOUSTON ROCKETS,5,45,8.5,0.455,0.7,0.1,0,12.4,6.3,10.3,3.3,0,8.7,22.5,0,0.1,0,0.022,-5.2,1.9,-3.3,0
258,Vince Hunter,POWER FORWARD,23,MEMPHIS GRIZZLIES,4,7,35.8,0.6,0,0,32.3,16.9,24.8,0,0,13.4,16.7,38.5,0,0,0,0.097,10.4,-0.7,9.7,0
259,Serge Ibaka,POWER FORWARD,28,TORONTO RAPTORS,76,2093,14.7,0.574,0.379,0.151,4.3,21,12.8,4.4,0.7,3.8,9.7,19.4,2.1,3,5.1,0.117,-0.1,0,-0.1,1
260,Andre Iguodala,SMALL FORWARD,34,GOLDEN STATE WARRIORS,64,1622,11.2,0.536,0.366,0.272,3.7,12.6,8.5,16.2,1.6,1.9,15.8,11.5,1.6,1.6,3.2,0.094,-1.1,0.8,-0.3,0.7
261,Ersan İlyasova,POWER FORWARD,30,ATLANTA HAWKS,46,1175,15.1,0.569,0.424,0.224,7,16.8,11.9,6.8,1.8,1.2,8.9,18,1.6,1,2.6,0.106,0.3,-0.5,-0.1,0.6
262,Ersan İlyasova,POWER FORWARD,30,PHILADELPHIA 76ERS,23,554,14.6,0.537,0.392,0.212,8.9,20.6,15,10.4,1.5,1.4,11.1,20.1,0.6,0.9,1.4,0.125,-1.2,-0.3,-1.6,0.1
263,Joe Ingles,SMALL FORWARD,30,UTAH JAZZ,82,2578,14.4,0.623,0.646,0.116,1.1,13.9,7.6,22.9,1.8,0.7,17.4,15.9,4,3.6,7.6,0.141,1,1.3,2.3,2.8
264,Andre Ingram,SHOOTING GUARD,32,LOS ANGELES LAKERS,2,64,16.3,0.655,0.529,0.176,1.7,8.3,5,15.3,2.2,3.8,14.1,14.1,0.1,0.1,0.2,0.157,1.7,2.5,4.3,0.1
265,Brandon Ingram,SMALL FORWARD,20,LOS ANGELES LAKERS,59,1975,13.8,0.536,0.138,0.371,3.1,13.8,8.5,17.7,1.1,1.8,14.4,22.2,1,1.8,2.8,0.068,-0.9,-0.3,-1.2,0.4
266,Kyrie Irving,POINT GUARD,25,BOSTON CELTICS,60,1931,25,0.61,0.374,0.24,1.9,10.8,6.4,30.7,1.7,0.7,10.4,31,6.3,2.7,8.9,0.222,6.4,0.9,7.3,4.5
267,Jonathan Isaac,POWER FORWARD,20,ORLANDO MAGIC,27,536,9.8,0.465,0.317,0.172,3.3,17.2,10.2,4.8,3,4.5,14.8,15,-0.6,0.8,0.2,0.021,-3.8,2.4,-1.4,0.1
268,Wesley Iwundu,SMALL FORWARD,23,ORLANDO MAGIC,62,1020,7.8,0.48,0.211,0.216,3.9,11,7.4,7.8,1.6,0.9,11.2,11.6,0,0.7,0.7,0.032,-4.2,-0.1,-4.3,-0.6
269,Jarrett Jack,POINT GUARD,34,NEW YORK KNICKS,62,1548,11.5,0.489,0.194,0.169,1.6,12.1,6.8,31.3,1.1,0.2,19.5,16.7,0.5,0.7,1.2,0.036,-1.6,-1.3,-2.8,-0.3
270,Aaron Jackson,POINT GUARD,31,HOUSTON ROCKETS,1,35,2.4,0.405,0.444,0.222,6.5,3.2,4.8,4,0,0,9.2,13.7,0,0,0,-0.017,-6.6,-2.3,-8.9,-0.1
271,Demetrius Jackson,POINT GUARD,23,HOUSTON ROCKETS,12,63,0.2,0.286,0.429,0,7.2,12.4,9.8,10.7,3.1,1.3,39.1,16.1,-0.3,0.1,-0.2,-0.14,-9.2,0.6,-8.5,-0.1
272,Demetrius Jackson,POINT GUARD,23,PHILADELPHIA 76ERS,3,17,24.5,0.82,0.25,0.5,6.6,0,3.2,35.1,2.8,0,17,14.8,0.1,0,0.1,0.298,5.3,2.1,7.3,0
273,Josh Jackson,SMALL FORWARD,20,PHOENIX SUNS,77,1959,11.8,0.48,0.233,0.299,5.1,14.2,9.6,10.1,2,1.4,12.2,26,-2,1.2,-0.7,-0.018,-2.8,-1.4,-4.2,-1.1
274,Justin Jackson,SMALL FORWARD,22,SACRAMENTO KINGS,68,1506,9.2,0.521,0.442,0.086,2,12.6,7.1,7.2,0.9,0.8,8.4,14.2,0.4,0.5,1,0.031,-2.4,-1.1,-3.5,-0.6
275,Reggie Jackson,POINT GUARD,27,DETROIT PISTONS,45,1201,15.9,0.516,0.293,0.232,2.6,9,5.7,32.8,1.1,0.3,13.5,27.1,1.1,0.9,2,0.078,1,-1.4,-0.4,0.5
276,LeBron James,POWER FORWARD,33,CLEVELAND CAVALIERS,82,3026,28.6,0.621,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2,16.1,31.6,11,3,14,0.221,7.3,1.4,8.7,8.2
277,Mike James,POINT GUARD,27,PHOENIX SUNS,32,669,14.2,0.476,0.311,0.269,1.9,12.5,7.1,29,1.9,0.8,12.1,25.2,0,0.3,0.3,0.021,-0.3,-0.9,-1.2,0.1
