Team,W,L,W/L%,PA/G,SRS,Season,Conference
Milwaukee Bucks,60,22,0.732,109.3,8.04,2018-2019,East
Toronto Raptors,58,24,0.707,108.4,5.49,2018-2019,East
Philadelphia 76ers,51,31,0.622,112.5,2.25,2018-2019,East
Boston Celtics,49,33,0.598,108,3.9,2018-2019,East
Indiana Pacers,48,34,0.585,104.7,2.76,2018-2019,East
Brooklyn Nets,42,40,0.512,112.3,-0.4,2018-2019,East
Orlando Magic,42,40,0.512,106.6,0.28,2018-2019,East
Detroit Pistons,41,41,0.5,107.3,-0.56,2018-2019,East
Charlotte Hornets,39,43,0.476,111.8,-1.32,2018-2019,East
Miami Heat,39,43,0.476,105.9,-0.45,2018-2019,East
Washington Wizards,32,50,0.39,116.9,-3.3,2018-2019,East
Atlanta Hawks,29,53,0.354,119.4,-6.06,2018-2019,East
Chicago Bulls,22,60,0.268,113.4,-8.32,2018-2019,East
Cleveland Cavaliers,19,63,0.232,114.1,-9.39,2018-2019,East
New York Knicks,17,65,0.207,113.8,-8.93,2018-2019,East
Golden State Warriors,57,25,0.695,111.2,6.42,2018-2019,East
Denver Nuggets,54,28,0.659,106.7,4.19,2018-2019,East
Portland Trail Blazers,53,29,0.646,110.5,4.43,2018-2019,East
Houston Rockets,53,29,0.646,109.1,4.96,2018-2019,East
Utah Jazz,50,32,0.61,106.5,5.28,2018-2019,East
Oklahoma City Thunder,49,33,0.598,111.1,3.56,2018-2019,East
San Antonio Spurs,48,34,0.585,110,1.8,2018-2019,East
Los Angeles Clippers,48,34,0.585,114.3,1.09,2018-2019,East
Sacramento Kings,39,43,0.476,115.3,-0.81,2018-2019,East
Los Angeles Lakers,37,45,0.451,113.5,-1.33,2018-2019,East
Minnesota Timberwolves,36,46,0.439,114,-1.02,2018-2019,East
Memphis Grizzlies,33,49,0.402,106.1,-2.08,2018-2019,East
New Orleans Pelicans,33,49,0.402,116.8,-1.1,2018-2019,East
Dallas Mavericks,33,49,0.402,110.1,-0.87,2018-2019,East
Phoenix Suns,19,63,0.232,116.8,-8.61,2018-2019,East
