,Player,ID
0,Álex Abrines,abrinal01
1,Quincy Acy,acyqu01
2,Steven Adams,adamsst01
3,Bam Adebayo,adebaba01
4,Arron Afflalo,afflaar01
5,Cole Aldrich,aldrico01
6,LaMarcus Aldridge,aldrila01
7,Jarrett Allen,allenja01
8,Kadeem Allen,allenka01
9,Tony Allen,allento01
10,Al-Farouq Aminu,aminual01
11,Justin Anderson,anderju01
12,Kyle Anderson,anderky01
13,Ryan Anderson,anderry01
14,Ike Anigbogu,anigbik01
15,Giannis Antetokounmpo,antetgi01
16,Carmelo Anthony,anthoca01
17,OG Anunoby,anunoog01
18,Ryan Arcidiacono,arcidry01
19,Trevor Ariza,arizatr01
20,Darrell Arthur,arthuda01
21,Jamel Artis,artisja01
22,Ömer Aşık,asikom01
23,Ömer Aşık,asikom01
24,Ömer Aşık,asikom01
25,D.J. Augustin,augusdj01
26,Luke Babbitt,babbilu01
27,Luke Babbitt,babbilu01
28,Luke Babbitt,babbilu01
29,Dwayne Bacon,bacondw01
30,Ron Baker,bakerro01
31,Wade Baldwin,baldwwa01
32,Lonzo Ball,balllo01
33,J.J. Barea,bareajo01
34,Harrison Barnes,barneha02
35,Will Barton,bartowi01
36,Nicolas Batum,batumni01
37,Jerryd Bayless,bayleje01
38,Aron Baynes,baynear01
39,Kent Bazemore,bazemke01
40,Bradley Beal,bealbr01
41,Malik Beasley,beaslma01
42,Michael Beasley,beaslmi01
43,Marco Belinelli,belinma01
44,Marco Belinelli,belinma01
45,Marco Belinelli,belinma01
46,Jordan Bell,belljo01
47,DeAndre' Bembry,bembrde01
48,Dragan Bender,bendedr01
49,Dāvis Bertāns,bertada01
50,Patrick Beverley,beverpa01
51,Khem Birch,birchkh01
52,Jabari Bird,birdja01
53,Bismack Biyombo,biyombi01
54,Nemanja Bjelica,bjeline01
55,Tarik Black,blackta01
56,Antonio Blakeney,blakean01
57,Eric Bledsoe,bledser01
58,Eric Bledsoe,bledser01
59,Eric Bledsoe,bledser01
60,Vander Blue,blueva01
61,Bogdan Bogdanović,bogdabo01
62,Bojan Bogdanović,bogdabo02
63,Andrew Bogut,bogutan01
64,Joel Bolomboy,bolomjo01
65,Devin Booker,bookede01
66,Trevor Booker,booketr01
67,Trevor Booker,booketr01
68,Trevor Booker,booketr01
69,Trevor Booker,booketr01
70,Chris Boucher,bouchch01
71,Avery Bradley,bradlav01
72,Avery Bradley,bradlav01
73,Avery Bradley,bradlav01
74,Tony Bradley,bradlto01
75,Corey Brewer,breweco01
76,Corey Brewer,breweco01
77,Corey Brewer,breweco01
78,Malcolm Brogdon,brogdma01
79,Aaron Brooks,brookaa01
80,Dillon Brooks,brookdi01
81,MarShon Brooks,brookma01
82,Anthony Brown,brownan02
83,Bobby Brown,brownbo02
84,Jaylen Brown,brownja02
85,Lorenzo Brown,brownlo01
86,Markel Brown,brownma02
87,Sterling Brown,brownst02
88,Nicolás Brussino,brussni01
89,Thomas Bryant,bryanth01
90,Reggie Bullock,bullore01
91,Trey Burke,burketr01
92,Alec Burks,burksal01
93,Jimmy Butler,butleji01
94,Dwight Buycks,buyckdw01
95,Bruno Caboclo,cabocbr01
96,Bruno Caboclo,cabocbr01
97,Bruno Caboclo,cabocbr01
98,José Calderón,caldejo01
99,Kentavious Caldwell-Pope,caldwke01
100,Isaiah Canaan,canaais01
101,Isaiah Canaan,canaais01
102,Isaiah Canaan,canaais01
103,Clint Capela,capelca01
104,DeMarre Carroll,carrode01
105,Vince Carter,cartevi01
106,Michael Carter-Williams,cartemi01
107,Alex Caruso,carusal01
108,Omri Casspi,casspom01
109,Willie Cauley-Stein,caulewi01
110,Tyler Cavanaugh,cavanty01
111,Mario Chalmers,chalmma01
112,Tyson Chandler,chandty01
113,Wilson Chandler,chandwi01
114,Marquese Chriss,chrisma01
115,Ian Clark,clarkia01
116,Jordan Clarkson,clarkjo01
117,Jordan Clarkson,clarkjo01
118,Jordan Clarkson,clarkjo01
119,Gian Clavell,clavegi01
120,Antonius Cleveland,clevean01
121,Antonius Cleveland,clevean01
122,Antonius Cleveland,clevean01
123,John Collins,collijo01
124,Zach Collins,colliza01
125,Kyle Collinsworth,colliky01
126,Darren Collison,collida01
127,Nick Collison,collini01
128,Mike Conley,conlemi01
129,Pat Connaughton,connapa01
130,Quinn Cook,cookqu01
131,Charles Cooke,cookech01
132,Jack Cooley,cooleja01
133,Matt Costello,costema01
134,DeMarcus Cousins,couside01
135,Robert Covington,covinro01
136,Allen Crabbe,crabbal01
137,Torrey Craig,craigto01
138,Jamal Crawford,crawfja01
139,Jordan Crawford,crawfjo02
140,Jae Crowder,crowdja01
141,Jae Crowder,crowdja01
142,Jae Crowder,crowdja01
143,Dante Cunningham,cunnida01
144,Dante Cunningham,cunnida01
145,Dante Cunningham,cunnida01
146,Stephen Curry,curryst01
147,Troy Daniels,danietr01
148,Anthony Davis,davisan02
149,Deyonta Davis,davisde01
150,Ed Davis,davised01
151,Dewayne Dedmon,dedmode01
152,Sam Dekker,dekkesa01
153,Malcolm Delaney,delanma01
154,Matthew Dellavedova,dellama01
155,Luol Deng,denglu01
156,DeMar DeRozan,derozde01
157,Cheick Diallo,diallch01
158,Gorgui Dieng,dienggo01
159,Spencer Dinwiddie,dinwisp01
160,Tyler Dorsey,dorsety01
161,Damyean Dotson,dotsoda01
162,Milton Doyle,doylemi01
163,PJ Dozier,doziepj01
164,Goran Dragić,dragigo01
165,Larry Drew II,drewla02
166,Larry Drew II,drewla02
167,Larry Drew II,drewla02
168,Andre Drummond,drumman01
169,Jared Dudley,dudleja01
170,Kris Dunn,dunnkr01
171,Kevin Durant,duranke01
172,Jarell Eddie,eddieja01
173,Jarell Eddie,eddieja01
174,Jarell Eddie,eddieja01
175,Henry Ellenson,ellenhe01
176,Wayne Ellington,ellinwa01
177,Joel Embiid,embiijo01
178,James Ennis,ennisja01
179,James Ennis,ennisja01
180,James Ennis,ennisja01
181,Tyler Ennis,ennisty01
182,Jawun Evans,evansja01
183,Jeremy Evans,evansje01
184,Tyreke Evans,evansty01
185,Dante Exum,exumda01
186,Kenneth Faried,farieke01
187,Derrick Favors,favorde01
188,Kay Felder,feldeka01
189,Kay Felder,feldeka01
190,Kay Felder,feldeka01
191,Cristiano Felício,feliccr01
192,Raymond Felton,feltora01
193,Terrance Ferguson,fergute01
194,Yogi Ferrell,ferreyo01
195,Dorian Finney-Smith,finnedo01
196,Bryn Forbes,forbebr01
197,Evan Fournier,fournev01
198,De'Aaron Fox,foxde01
199,Tim Frazier,fraziti01
200,Channing Frye,fryech01
201,Channing Frye,fryech01
202,Channing Frye,fryech01
203,Markelle Fultz,fultzma01
204,Danilo Gallinari,gallida01
205,Langston Galloway,gallola01
206,Marc Gasol,gasolma01
207,Pau Gasol,gasolpa01
208,Rudy Gay,gayru01
209,Paul George,georgpa01
210,Marcus Georges-Hunt,georgma01
211,Jonathan Gibson,gibsojo01
212,Taj Gibson,gibsota01
213,Manu Ginóbili,ginobma01
214,Rudy Gobert,goberru01
215,Aaron Gordon,gordoaa01
216,Eric Gordon,gordoer01
217,Marcin Gortat,gortama01
218,Treveon Graham,grahatr01
219,Jerami Grant,grantje01
220,Jerian Grant,grantje02
221,Josh Gray,grayjo01
222,Danny Green,greenda02
223,Draymond Green,greendr01
224,Gerald Green,greenge01
225,JaMychal Green,greenja01
226,Jeff Green,greenje02
227,Blake Griffin,griffbl01
228,Blake Griffin,griffbl01
229,Blake Griffin,griffbl01
230,Daniel Hamilton,hamilda02
231,Tim Hardaway Jr.,hardati02
232,James Harden,hardeja01
233,Maurice Harkless,harklma01
234,Montrezl Harrell,harremo01
235,Devin Harris,harride01
236,Devin Harris,harride01
237,Devin Harris,harride01
238,Gary Harris,harriga01
239,Joe Harris,harrijo01
240,Tobias Harris,harrito02
241,Tobias Harris,harrito02
242,Tobias Harris,harrito02
243,Aaron Harrison,harriaa01
244,Andrew Harrison,harrian01
245,Shaquille Harrison,harrish01
246,Josh Hart,hartjo01
247,Udonis Haslem,hasleud01
248,Nigel Hayes,hayesni01
249,Nigel Hayes,hayesni01
250,Nigel Hayes,hayesni01
251,Nigel Hayes,hayesni01
252,Gordon Hayward,haywago01
253,Reggie Hearn,hearnre01
254,Myke Henry,henrymy01
255,John Henson,hensojo01
256,Juan Hernangómez,hernaju01
257,Willy Hernangómez,hernawi01
258,Willy Hernangómez,hernawi01
259,Willy Hernangómez,hernawi01
260,Mario Hezonja,hezonma01
261,Isaiah Hicks,hicksis01
262,Buddy Hield,hieldbu01
263,Nenê,hilarne01
264,George Hill,hillge01
265,George Hill,hillge01
266,George Hill,hillge01
267,Solomon Hill,hillso01
268,Darrun Hilliard,hillida01
269,Jrue Holiday,holidjr01
270,Justin Holiday,holidju01
271,John Holland,hollajo02
272,Rondae Hollis-Jefferson,holliro01
273,Richaun Holmes,holmeri01
274,Rodney Hood,hoodro01
275,Rodney Hood,hoodro01
276,Rodney Hood,hoodro01
277,Scotty Hopson,hopsosc01
278,Al Horford,horfoal01
279,Danuel House,houseda01
280,Dwight Howard,howardw01
281,Josh Huestis,huestjo01
282,R.J. Hunter,hunterj01
283,Vince Hunter,huntevi01
284,Serge Ibaka,ibakase01
285,Andre Iguodala,iguodan01
286,Ersan İlyasova,ilyaser01
287,Ersan İlyasova,ilyaser01
288,Ersan İlyasova,ilyaser01
289,Joe Ingles,inglejo01
290,Andre Ingram,ingraan01
291,Brandon Ingram,ingrabr01
292,Kyrie Irving,irvinky01
293,Jonathan Isaac,isaacjo01
294,Wesley Iwundu,iwundwe01
295,Jarrett Jack,jackja01
296,Aaron Jackson,jacksaa01
297,Demetrius Jackson,jacksde01
298,Demetrius Jackson,jacksde01
299,Demetrius Jackson,jacksde01
300,Josh Jackson,jacksjo02
301,Justin Jackson,jacksju01
302,Reggie Jackson,jacksre01
303,LeBron James,jamesle01
304,Mike James,jamesmi02
305,Mike James,jamesmi02
306,Mike James,jamesmi02
307,Al Jefferson,jeffeal01
308,Richard Jefferson,jefferi01
309,Brandon Jennings,jennibr01
310,Jonas Jerebko,jerebjo01
311,Amir Johnson,johnsam01
312,Brice Johnson,johnsbr02
313,Brice Johnson,johnsbr02
314,Brice Johnson,johnsbr02
315,Dakari Johnson,johnsda04
316,James Johnson,johnsja01
317,Joe Johnson,johnsjo02
318,Joe Johnson,johnsjo02
319,Joe Johnson,johnsjo02
320,Omari Johnson,johnsom01
321,Stanley Johnson,johnsst04
322,Tyler Johnson,johnsty01
323,Wesley Johnson,johnswe01
324,Nikola Jokić,jokicni01
325,Damian Jones,jonesda03
326,Derrick Jones Jr.,jonesde02
327,Derrick Jones Jr.,jonesde02
328,Derrick Jones Jr.,jonesde02
329,Jalen Jones,jonesja04
330,Jalen Jones,jonesja04
331,Jalen Jones,jonesja04
332,Tyus Jones,jonesty01
333,DeAndre Jordan,jordade01
334,Cory Joseph,josepco01
335,Frank Kaminsky,kaminfr01
336,Enes Kanter,kanteen01
337,Luke Kennard,kennalu01
338,Michael Kidd-Gilchrist,kiddgmi01
339,Sean Kilpatrick,kilpase01
340,Sean Kilpatrick,kilpase01
341,Sean Kilpatrick,kilpase01
342,Sean Kilpatrick,kilpase01
343,Sean Kilpatrick,kilpase01
344,Maxi Kleber,klebima01
345,Furkan Korkmaz,korkmfu01
346,Luke Kornet,kornelu01
347,Kyle Korver,korveky01
348,Kosta Koufos,koufoko01
349,Kyle Kuzma,kuzmaky01
350,Mindaugas Kuzminskas,kuzmimi01
351,Skal Labissière,labissk01
352,Jeremy Lamb,lambje01
353,Shane Larkin,larkish01
354,Joffrey Lauvergne,lauvejo01
355,Zach LaVine,lavinza01
356,Jake Layman,laymaja01
357,T.J. Leaf,leaftj01
358,Courtney Lee,leeco01
359,Damion Lee,leeda03
360,Walt Lemon Jr.,lemonwa01
361,Alex Len,lenal01
362,Kawhi Leonard,leonaka01
363,Meyers Leonard,leoname01
364,Jon Leuer,leuerjo01
365,Caris LeVert,leverca01
366,DeAndre Liggins,liggide01
367,DeAndre Liggins,liggide01
368,DeAndre Liggins,liggide01
369,Damian Lillard,lillada01
370,Jeremy Lin,linje01
371,Shaun Livingston,livinsh01
372,Kevon Looney,looneke01
373,Brook Lopez,lopezbr01
374,Robin Lopez,lopezro01
375,Kevin Love,loveke01
376,Kyle Lowry,lowryky01
377,Timothé Luwawu-Cabarrot,luwawti01
378,Tyler Lydon,lydonty01
379,Trey Lyles,lylestr01
380,Shelvin Mack,macksh01
381,Josh Magette,magetjo01
382,Ian Mahinmi,mahinia01
383,Thon Maker,makerth01
384,Boban Marjanović,marjabo01
385,Boban Marjanović,marjabo01
386,Boban Marjanović,marjabo01
